,Brand,Model,Version,Location,Fuel_Type,Transmission,Owner_Type,Year,Kilometers_Driven,Power,Seats,Predicted Price
30,Toyota,Etios,Cross 1.4L VD,Chennai,Diesel,Manual,Second,2014,70000,67.06,5.0,3.3683962264150957
31,Volkswagen,Polo,GT TDI,Pune,Diesel,Manual,First,2014,68000,103.6,5.0,5.0403773584905665
32,Hyundai,i10,Era 1.1 iTech SE,Pune,Petrol,Manual,Second,2010,71000,68.05,5.0,2.3459433962264153
33,Mitsubishi,Pajero,2.8 SFX,Chennai,Diesel,Manual,First,2012,121000,107.2,6.0,8.918773584905663
34,Maruti,Swift,Dzire Tour LDI,Kolkata,Diesel,Manual,First,2015,107000,74.0,5.0,3.991698113207548
35,Maruti,Swift,Dzire VXI,Chennai,Petrol,Manual,First,2015,51000,85.8,5.0,4.629716981132077
36,Skoda,Rapid,1.6 MPI AT Style,Mumbai,Petrol,Automatic,First,2017,13500,103.52,5.0,9.023490566037744
37,Hyundai,Creta,1.6 SX Plus Dual Tone Petrol,Bangalore,Petrol,Manual,First,2016,13000,121.3,5.0,9.915094339622641
38,Toyota,Innova,2.5 G (Diesel) 7 Seater BS IV,Pune,Diesel,Manual,First,2010,81000,102.0,8.0,5.401698113207548
39,BMW,5,Series 520d Luxury Line,Mumbai,Diesel,Automatic,First,2012,66889,190.0,5.0,16.272830188679244
40,Maruti,Baleno,Alpha 1.3,Ahmedabad,Diesel,Manual,First,2018,32000,74.0,5.0,6.764716981132078
41,Audi,A4,2.0 TDI 177 Bhp Technology Edition,Pune,Diesel,Automatic,First,2013,87001,174.33,5.0,19.07311320754717
42,Audi,A4,2.0 TDI Multitronic,Hyderabad,Diesel,Automatic,Second,2013,55000,140.0,5.0,17.76358490566038
43,Skoda,Rapid,1.6 MPI Ambition,Jaipur,Petrol,Manual,First,2018,4000,103.52,5.0,9.139905660377353
44,Maruti,Ertiga,SHVS VDI,Kochi,Diesel,Manual,First,2017,27778,88.5,7.0,8.890188679245286
45,Maruti,Ciaz,1.4 Zeta,Mumbai,Petrol,Manual,First,2017,5000,91.1,5.0,8.453207547169812
46,Maruti,Ciaz,ZXi,Pune,Petrol,Manual,First,2014,72000,91.1,5.0,5.831226415094341
47,Mercedes-Benz,A,Class A200 CDI Sport,Chennai,Diesel,Automatic,First,2015,21000,136.0,5.0,23.668962264150945
48,Toyota,Innova,2.5 ZX Diesel 7 Seater,Kochi,Diesel,Manual,First,2015,59299,100.6,7.0,10.94377358490566
49,BMW,3,Series 320d Prestige,Ahmedabad,Diesel,Automatic,First,2014,75000,184.0,5.0,19.590566037735837
50,Maruti,Alto,800 2016-2019 LXI,Kochi,Petrol,Manual,First,2019,3413,47.3,5.0,3.8558490566037755
51,Ford,Ecosport,1.5 DV5 MT Titanium,Mumbai,Diesel,Manual,First,2014,62000,89.84,5.0,6.058396226415097
52,Ford,Endeavour,3.0L 4X4 AT,Mumbai,Diesel,Automatic,First,2010,105001,153.86,7.0,6.408490566037737
53,Audi,Q5,2.0 TDI,Mumbai,Diesel,Automatic,First,2013,89000,174.3,5.0,20.031698113207543
54,Hyundai,Verna,1.6 SX VTVT,Mumbai,Petrol,Manual,First,2014,21000,121.3,5.0,6.088372641509438
55,Mahindra,XUV500,W8 4WD,Kolkata,Diesel,Manual,First,2014,50000,140.0,7.0,9.44254716981132
56,Maruti,Vitara,Brezza ZDi,Hyderabad,Diesel,Manual,First,2016,70687,88.5,5.0,7.830660377358487
57,Toyota,Etios,Liva 1.4 VXD,Pune,Diesel,Manual,First,2016,104350,67.04,5.0,3.6121698113207548
58,Tata,Indigo,CS LX (TDI) BS III,Chennai,Diesel,Manual,Second,2011,150000,69.0,5.0,2.728113207547169
59,Honda,City,ZX GXi,Delhi,Petrol,Manual,First,2008,81000,78.0,5.0,1.883113207547169
60,Toyota,Corolla,Altis G,Kolkata,Petrol,Manual,Second,2008,89000,138.1,5.0,4.312924528301887
61,Hyundai,Grand,i10 Asta,Kochi,Petrol,Manual,First,2017,35223,82.0,5.0,5.977830188679244
62,Hyundai,i20,Sportz 1.2,Kolkata,Petrol,Manual,First,2015,48000,81.83,5.0,4.124905660377359
63,Volkswagen,Polo,1.5 TDI Comfortline,Delhi,Diesel,Manual,First,2015,60000,88.8,5.0,5.148396226415095
64,Maruti,Celerio,X VXI Option,Mumbai,Petrol,Manual,First,2018,7000,67.0,5.0,4.253113207547171
65,Chevrolet,Sail,Hatchback 1.2,Kochi,Petrol,Manual,First,2015,47572,82.5,5.0,4.37990566037736
66,Mahindra,Scorpio,VLX Special Edition BS-IV,Delhi,Diesel,Manual,Second,2010,72727,120.0,8.0,4.949716981132075
67,Volkswagen,Ameo,1.5 TDI Comfortline,Mumbai,Diesel,Manual,First,2018,4708,108.62,5.0,10.664622641509437
68,Maruti,Wagon,R LXI,Delhi,Petrol,Manual,Second,2009,55000,67.1,5.0,1.8076415094339622
69,Honda,Brio,S Option MT,Coimbatore,Petrol,Manual,Second,2013,44198,86.8,5.0,4.212924528301886
70,Maruti,Ertiga,VXI,Ahmedabad,Petrol,Manual,First,2015,35000,93.7,7.0,5.913867924528304
71,Hyundai,Santro,Xing GL,Ahmedabad,Petrol,Manual,First,2013,63831,62.0,5.0,2.876320754716982
72,Ford,Figo,Aspire 1.2 Ti-VCT Titanium,Delhi,Petrol,Manual,First,2017,17540,86.8,5.0,6.194622641509435
73,Tata,Tiago,AMT 1.2 Revotron XTA,Mumbai,Petrol,Automatic,First,2017,14000,84.0,5.0,6.20716981132076
75,Chevrolet,Beat,LT,Chennai,Petrol,Manual,Second,2010,75422,79.4,5.0,2.15254716981132
76,Nissan,Micra,Diesel XV,Hyderabad,Diesel,Manual,Second,2011,67000,63.1,5.0,2.728679245283019
77,Toyota,Innova,2.5 GX (Diesel) 8 Seater,Delhi,Diesel,Manual,First,2013,79999,100.0,8.0,8.76735849056603
78,Hyundai,Xcent,1.2 VTVT E,Kolkata,Petrol,Manual,First,2017,5044,81.86,5.0,5.51688679245283
79,Maruti,Ciaz,VXi,Kolkata,Petrol,Manual,First,2016,31601,91.1,5.0,6.620188679245284
80,BMW,5,Series 2013-2017 520d Luxury Line,Delhi,Diesel,Automatic,First,2014,70000,190.0,5.0,23.90499999999999
81,Toyota,Camry,Hybrid 2.5,Ahmedabad,Petrol,Automatic,First,2016,16000,175.67,5.0,26.505377358490573
82,Toyota,Corolla,Altis D-4D G,Mumbai,Diesel,Manual,First,2016,31700,87.2,5.0,8.397358490566033
83,Hyundai,Verna,1.6 SX CRDi (O),Kochi,Diesel,Manual,First,2014,76969,126.32,5.0,6.434433962264149
84,Volkswagen,Vento,1.5 TDI Highline AT,Kolkata,Diesel,Automatic,First,2015,37000,103.2,5.0,4.889150943396227
85,Nissan,Teana,XL,Mumbai,Petrol,Automatic,First,2014,23000,179.5,5.0,24.34566037735848
86,Hyundai,i20,1.2 Sportz Option,Coimbatore,Petrol,Manual,Second,2014,59098,80.0,5.0,5.205094339622642
87,Tata,Manza,Club Class Safire90 LX,Kochi,Petrol,Manual,First,2010,142299,88.76,5.0,2.3111635220125777
88,Ford,Figo,Diesel ZXI,Jaipur,Diesel,Manual,First,2011,75731,68.0,5.0,2.249245283018868
89,Hyundai,i20,Asta 1.2,Coimbatore,Petrol,Manual,First,2017,69627,81.83,5.0,5.364622641509435
90,Ford,Fiesta,Classic 1.6 SXI Duratec,Mumbai,Petrol,Manual,First,2011,49000,99.6,5.0,2.864056603773585
91,Mercedes-Benz,B,Class B180 Sports,Mumbai,Petrol,Automatic,First,2015,25700,120.7,5.0,12.378396226415095
92,Hyundai,i20,Magna,Delhi,Petrol,Manual,First,2012,80800,82.85,5.0,3.3928301886792447
93,Maruti,Swift,Dzire VDI,Hyderabad,Diesel,Manual,First,2013,110896,74.0,5.0,4.469716981132075
94,Hyundai,Santro,Xing GLS,Kolkata,Petrol,Manual,First,2009,62261,62.1,5.0,1.3735849056603775
95,Maruti,Baleno,Alpha,Kochi,Petrol,Manual,First,2017,27610,83.1,5.0,6.579716981132078
96,Honda,Accord,2.4 Elegance M/T,Kochi,Petrol,Manual,First,2011,89219,180.0,5.0,5.901132075471696
97,Nissan,Micra,XL CVT,Hyderabad,Petrol,Automatic,First,2018,6700,75.94,5.0,7.195754716981132
98,Maruti,Zen,Estilo LXI BS IV,Pune,Petrol,Manual,First,2011,51599,67.1,5.0,2.484245283018867
99,Hyundai,Elantra,CRDi SX,Kolkata,Diesel,Manual,First,2013,37489,126.24,5.0,5.7446226415094355
100,Tata,Indica,V2 DiCOR DLG BS-III,Mumbai,Diesel,Manual,First,2016,98000,70.0,5.0,3.664905660377358
101,Tata,Nano,Lx,Hyderabad,Petrol,Manual,First,2012,25183,35.0,4.0,1.6667924528301887
102,BMW,5,Series 2013-2017 520d Luxury Line,Bangalore,Diesel,Automatic,Second,2015,52100,190.0,5.0,27.515471698113206
103,Honda,Amaze,S i-Dtech,Pune,Diesel,Manual,First,2014,60000,98.6,5.0,4.97358490566038
104,Volkswagen,Polo,Diesel Highline 1.2L,Kolkata,Diesel,Manual,First,2013,51000,73.9,5.0,2.8707547169811316
105,Tata,Indica,Vista Quadrajet LX,Mumbai,Diesel,Manual,First,2012,70000,74.0,5.0,3.4227358490566044
106,Audi,Q3,30 TDI S Edition,Jaipur,Diesel,Manual,First,2015,95000,138.13,5.0,15.10971698113208
107,Honda,City,i DTEC SV,Jaipur,Diesel,Manual,First,2014,66346,98.6,5.0,6.017358490566037
108,Honda,Amaze,SX i-DTEC,Hyderabad,Diesel,Manual,First,2015,69150,98.6,5.0,5.234905660377358
109,Hyundai,i20,Asta Option 1.2,Bangalore,Petrol,Manual,First,2016,31000,81.83,5.0,4.965377358490566
110,BMW,5,Series 2013-2017 520d Luxury Line,Bangalore,Diesel,Automatic,Second,2013,49000,190.0,5.0,18.52330188679245
111,Honda,Brio,S MT,Kochi,Petrol,Manual,First,2014,63058,86.8,5.0,4.246509433962262
112,Mercedes-Benz,New,C-Class C 250 CDI Avantgarde,Delhi,Diesel,Automatic,First,2016,22000,201.15,5.0,36.896886792452825
113,Volkswagen,Polo,1.2 MPI Highline,Coimbatore,Petrol,Manual,First,2015,73026,74.0,5.0,5.610094339622639
114,Hyundai,i10,Magna AT,Coimbatore,Petrol,Automatic,Second,2011,21762,80.0,5.0,3.893301886792451
115,Hyundai,Verna,1.6 SX VTVT,Coimbatore,Petrol,Manual,First,2018,29738,121.3,5.0,10.129056603773597
116,Hyundai,i20,1.2 Magna Executive,Mumbai,Petrol,Manual,First,2018,16053,81.83,5.0,6.369339622641507
117,BMW,5,Series 525d Sedan,Kochi,Diesel,Automatic,First,2012,61665,218.0,5.0,22.774528301886786
118,Maruti,Swift,Dzire Vdi BSIV,Delhi,Diesel,Manual,First,2015,51000,73.9,5.0,4.785943396226414
119,Honda,BRV,i-DTEC V MT,Bangalore,Diesel,Manual,First,2016,34820,98.6,7.0,6.162735849056606
120,Maruti,Ertiga,VXI,Mumbai,Petrol,Manual,First,2018,12000,91.1,7.0,9.093301886792457
121,Maruti,Swift,Dzire VDI Optional,Hyderabad,Diesel,Manual,First,2017,32287,74.0,5.0,6.213301886792456
123,BMW,X3,xDrive20d,Coimbatore,Diesel,Automatic,First,2015,74485,184.0,5.0,23.25679245283019
124,Chevrolet,Beat,Diesel LS,Chennai,Diesel,Manual,First,2011,63000,57.6,5.0,2.086226415094339
125,Audi,Q3,30 TDI Premium FWD,Coimbatore,Diesel,Automatic,First,2018,53190,147.51,5.0,25.231132075471706
126,Mercedes-Benz,GL-Class,2007 2012 350 CDI Luxury,Bangalore,Diesel,Automatic,First,2016,26900,224.0,7.0,44.57283018867925
127,BMW,3,Series GT 320d Sport Line,Hyderabad,Diesel,Automatic,First,2015,40000,184.0,5.0,27.02443396226415
128,Hyundai,Grand,i10 Asta Option,Coimbatore,Petrol,Manual,First,2016,40587,82.0,5.0,5.694339622641509
129,Hyundai,Grand,i10 Asta,Hyderabad,Petrol,Manual,First,2015,27000,82.0,5.0,5.079811320754717
130,Toyota,Etios,Liva VD,Coimbatore,Diesel,Manual,First,2016,29108,67.04,5.0,4.362547169811319
131,Datsun,GO,T Petrol,Mumbai,Petrol,Manual,First,2015,18000,67.0,5.0,3.3899056603773596
132,Maruti,Ignis,1.2 Alpha,Kolkata,Petrol,Manual,First,2017,10500,81.8,5.0,5.329905660377357
133,Maruti,A-Star,Zxi,Chennai,Petrol,Manual,Third,2009,60000,66.1,5.0,1.9261320754716988
134,Honda,Civic,2010-2013 1.8 V AT Sunroof,Pune,Petrol,Automatic,Third,2011,61000,130.3,5.0,4.649811320754715
135,Maruti,Alto,800 LXI,Kolkata,Petrol,Manual,First,2017,5000,47.3,5.0,2.9670754716981143
136,Jaguar,XE,2.0L Diesel Prestige,Pune,Diesel,Automatic,First,2018,24001,177.0,5.0,32.3080188679245
137,Hyundai,i20,1.4 CRDi Sportz,Hyderabad,Diesel,Manual,First,2011,76000,90.0,5.0,3.8545283018867926
138,Ford,EcoSport,1.0 Ecoboost Titanium Plus,Hyderabad,Petrol,Manual,First,2014,56000,123.24,5.0,6.269622641509438
139,Mahindra,KUV,100 mFALCON G80 K4 5str,Mumbai,Petrol,Manual,First,2016,30000,82.0,5.0,4.6834905660377375
140,Maruti,Vitara,Brezza VDi Option,Hyderabad,Diesel,Manual,First,2017,44263,88.5,5.0,8.498836477987421
141,Ford,Figo,Diesel ZXI,Hyderabad,Diesel,Manual,First,2011,97899,68.0,5.0,2.6150943396226425
142,Volkswagen,Vento,Diesel Highline,Jaipur,Diesel,Manual,Second,2011,157301,103.6,5.0,3.8933018867924525
144,Fiat,Avventura,FIRE Dynamic,Pune,Petrol,Manual,Second,2016,35000,88.8,5.0,6.24433962264151
145,Honda,Civic,2006-2010 1.8 V MT,Pune,Petrol,Manual,First,2009,106000,130.0,5.0,3.0693396226415097
146,Honda,CR-V,Diesel,Kolkata,Diesel,Manual,First,2016,121590,148.0,5.0,18.958301886792455
147,Maruti,Wagon,R LXI,Delhi,Petrol,Manual,First,2012,64692,67.04,5.0,2.595849056603773
148,Hyundai,i10,Magna,Mumbai,Petrol,Manual,First,2010,41000,78.9,5.0,2.718962264150945
149,Volkswagen,Ameo,1.5 TDI Highline AT,Coimbatore,Diesel,Automatic,First,2018,25143,108.495,5.0,11.812547169811326
150,Volkswagen,Vento,Diesel Highline,Ahmedabad,Diesel,Manual,First,2011,51000,103.6,5.0,3.856981132075469
151,Hyundai,Accent,CRDi,Pune,Diesel,Manual,Second,2005,109000,82.0,5.0,1.2383962264150938
152,Ford,Ecosport,1.5 DV5 MT Titanium Optional,Kochi,Diesel,Manual,First,2015,69062,89.84,5.0,6.051132075471696
153,Jaguar,XF,2.2 Litre Luxury,Kochi,Diesel,Automatic,First,2015,34386,187.7,5.0,28.093679245283013
154,Maruti,Baleno,Alpha 1.2,Delhi,Petrol,Manual,First,2016,20185,83.1,5.0,6.112830188679243
155,Hyundai,Grand,i10 CRDi Magna,Hyderabad,Diesel,Manual,First,2013,41585,70.0,5.0,3.605943396226414
156,Hyundai,EON,Era,Kolkata,Petrol,Manual,First,2011,24000,55.2,5.0,1.8457547169811324
157,Mercedes-Benz,E-Class,2015-2017 E250 Edition E,Bangalore,Diesel,Automatic,First,2016,40000,204.0,5.0,32.799716981132086
158,Mercedes-Benz,M-Class,ML 350 4Matic,Bangalore,Diesel,Automatic,First,2012,37000,165.0,5.0,21.957830188679253
159,Ford,EcoSport,1.5 Diesel Titanium,Chennai,Diesel,Manual,First,2015,67630,98.96,5.0,6.473679245283021
160,Maruti,Celerio,VXI AT,Coimbatore,Petrol,Automatic,First,2016,24192,67.04,5.0,4.4335849056603776
161,Maruti,Vitara,Brezza VDi Option,Hyderabad,Diesel,Manual,First,2017,32248,88.5,5.0,8.683301886792453
162,Mahindra,Xylo,E9,Mumbai,Diesel,Manual,First,2013,28000,120.0,8.0,7.792264150943398
163,Hyundai,Creta,1.6 SX Automatic,Kochi,Petrol,Automatic,First,2018,36471,121.3,5.0,10.791981132075476
164,Honda,Mobilio,V i VTEC,Kochi,Petrol,Manual,First,2015,69689,117.3,7.0,6.927452830188683
165,Mercedes-Benz,GL-Class,350 CDI Blue Efficiency,Kochi,Diesel,Automatic,First,2015,69095,254.8,7.0,45.33594339622641
166,Hyundai,i20,Magna,Kolkata,Petrol,Manual,First,2010,46000,80.0,5.0,1.9854716981132088
167,Mercedes-Benz,S,Class 2005 2013 S 350 L,Mumbai,Petrol,Automatic,Third,2008,65000,364.9,5.0,13.005188679245286
168,Volkswagen,Vento,1.5 TDI Highline,Chennai,Diesel,Manual,First,2015,119258,108.5,5.0,7.279528301886792
169,Mercedes-Benz,E-Class,E250 CDI Avantgrade,Bangalore,Diesel,Automatic,First,2015,38339,201.1,5.0,30.060000000000013
170,Toyota,Etios,V,Mumbai,Petrol,Manual,First,2012,59503,88.73,5.0,3.816320754716981
171,Tata,Indica,Vista Aqua TDI BSIII,Chennai,Diesel,Manual,Third,2010,93600,71.0,5.0,2.1326415094339626
172,Volkswagen,Passat,1.8 TSI MT,Coimbatore,Petrol,Manual,First,2011,58865,160.0,5.0,4.966415094339621
173,Maruti,Alto,LXi,Coimbatore,Petrol,Manual,First,2012,64631,46.3,5.0,2.623018867924528
174,Skoda,Laura,1.9 TDI MT Elegance,Pune,Diesel,Manual,Second,2007,124298,105.0,5.0,2.147924528301886
175,Maruti,Wagon,R LX,Jaipur,Petrol,Manual,Second,2003,50000,67.1,5.0,1.1201886792452833
176,Nissan,Sunny,2011-2014 Diesel XV,Kolkata,Diesel,Manual,First,2013,40001,84.8,5.0,3.7076415094339614
177,Honda,Brio,VX,Bangalore,Petrol,Manual,First,2015,62659,86.8,5.0,4.6128301886792435
178,Hyundai,i10,Sportz,Kochi,Petrol,Manual,First,2014,68138,78.9,5.0,4.458207547169809
179,Mercedes-Benz,M-Class,ML 250 CDI,Mumbai,Diesel,Automatic,First,2014,34000,203.2,5.0,28.30716981132075
180,Volkswagen,Vento,Petrol Comfortline,Mumbai,Petrol,Manual,First,2013,67000,103.6,5.0,4.4020754716981125
181,Honda,Mobilio,S i DTEC,Delhi,Diesel,Manual,First,2015,64141,98.6,7.0,6.111603773584906
182,Maruti,Alto,LXI,Kolkata,Petrol,Manual,First,2019,1000,47.3,5.0,3.358773584905661
183,Mercedes-Benz,E-Class,E250 CDI Avantgrade,Mumbai,Diesel,Automatic,First,2013,42000,201.1,5.0,22.1266037735849
184,Honda,City,ZX VTEC Plus,Coimbatore,Petrol,Manual,Third,2009,76677,100.0,5.0,2.3101886792452824
185,Audi,A8,L 3.0 TDI quattro,Kochi,Diesel,Automatic,First,2013,66848,246.7,5.0,29.28783018867925
186,Hyundai,Santro,Xing GL,Ahmedabad,Petrol,Manual,First,2007,78000,62.0,5.0,1.3379245283018872
187,Maruti,Swift,Dzire VDi,Delhi,Diesel,Manual,First,2010,111166,73.9,5.0,3.422169811320755
188,Hyundai,Verna,CRDi ABS,Chennai,Diesel,Manual,First,2007,76000,110.0,5.0,2.980000000000001
189,Audi,Q5,2008-2012 2.0 TDI,Coimbatore,Diesel,Automatic,First,2012,94049,167.6,5.0,17.23820754716981
190,BMW,X1,sDrive20d,Ahmedabad,Diesel,Automatic,First,2014,47000,184.0,5.0,26.712358490566032
192,Tata,Nano,XT,Delhi,Petrol,Manual,First,2015,20047,37.48,4.0,1.9842452830188686
193,BMW,7,Series 730Ld DPE Signature,Chennai,Diesel,Automatic,First,2017,16000,261.49,5.0,56.92886792452831
194,Honda,Brio,1.2 S MT,Chennai,Petrol,Manual,First,2012,27000,86.8,5.0,3.401603773584905
195,Maruti,Alto,800 2016-2019 LXI,Mumbai,Petrol,Manual,First,2018,1001,47.3,5.0,3.641132075471702
196,Hyundai,i20,1.2 Sportz,Kolkata,Petrol,Manual,First,2010,89312,80.0,5.0,2.1337735849056623
198,Renault,Duster,110PS Diesel RxZ,Pune,Diesel,Manual,Second,2012,93000,108.45,5.0,5.608490566037738
199,Maruti,Swift,Dzire VDI,Kolkata,Diesel,Manual,First,2013,48000,74.0,5.0,3.269433962264151
200,Maruti,Dzire,ZDI,Coimbatore,Diesel,Manual,First,2014,64917,73.75,5.0,5.378018867924528
201,Honda,City,i VTEC V,Jaipur,Petrol,Manual,First,2017,19678,117.3,5.0,10.746792452830189
202,Jaguar,XF,Diesel,Kolkata,Diesel,Automatic,First,2014,12000,270.9,5.0,44.85783018867923
203,BMW,3,Series 320d Luxury Line,Delhi,Diesel,Automatic,First,2014,41309,184.0,5.0,23.75754716981132
204,BMW,3,Series Luxury Line,Coimbatore,Diesel,Automatic,First,2018,25038,190.0,5.0,36.73518867924529
205,Chevrolet,Beat,Diesel LS,Coimbatore,Diesel,Manual,First,2016,68673,56.3,5.0,3.6677358490566014
206,Mercedes-Benz,New,C-Class C 220d Avantgarde Edition C,Coimbatore,Diesel,Automatic,First,2018,26343,167.62,5.0,36.5096226415094
207,Maruti,Omni,E 8 Str STD,Bangalore,Petrol,Manual,Fourth & Above,2005,81245,34.2,8.0,1.9923584905660365
208,Nissan,Micra,Diesel XV,Delhi,Diesel,Manual,First,2012,62100,63.1,5.0,2.8671698113207547
209,Volkswagen,Vento,Petrol Highline,Pune,Petrol,Manual,First,2013,104000,103.6,5.0,4.445754716981131
210,Audi,A6,2011-2015 2.0 TDI Premium Plus,Coimbatore,Diesel,Automatic,First,2014,114831,174.33,5.0,20.264999999999993
211,Fiat,Linea,Dynamic,Mumbai,Petrol,Manual,First,2010,46000,88.7,5.0,2.0908490566037736
212,Hyundai,Verna,1.6 SX,Jaipur,Diesel,Manual,First,2014,80000,126.32,5.0,7.135377358490567
213,Hyundai,i20,Active 1.2 S,Kolkata,Petrol,Manual,First,2016,9201,81.86,5.0,4.534528301886793
214,Honda,Brio,V MT,Kochi,Petrol,Manual,First,2013,55311,86.8,5.0,3.7158490566037736
215,Honda,Mobilio,RS Option i DTEC,Coimbatore,Diesel,Manual,First,2015,58217,98.6,7.0,6.258301886792454
216,Mitsubishi,Pajero,Sport 4X4,Delhi,Diesel,Manual,First,2013,70655,175.56,7.0,14.429976415094345
217,Hyundai,i10,Magna,Kolkata,Petrol,Manual,First,2015,46000,78.9,5.0,4.152358490566039
218,Tata,Manza,Club Class Quadrajet90 LS,Pune,Diesel,Manual,First,2014,125000,88.8,5.0,5.132358490566039
219,Renault,Duster,Adventure Edition,Mumbai,Diesel,Manual,First,2014,59000,108.45,5.0,6.738962264150945
220,Hyundai,Verna,CRDi 1.6 AT SX Plus,Mumbai,Diesel,Automatic,Second,2013,66000,126.2,5.0,8.035660377358491
221,Maruti,Ritz,VDi,Hyderabad,Diesel,Manual,First,2009,82242,73.9,5.0,2.8241823899371066
222,Toyota,Innova,2.5 V Diesel 8-seater,Hyderabad,Diesel,Manual,First,2012,107281,102.0,8.0,10.155000000000001
223,Tata,Sumo,EX 10/7 Str BSII,Chennai,Diesel,Manual,Second,2015,196000,68.0,10.0,4.366981132075471
224,Audi,Q3,35 TDI Quattro Premium Plus,Ahmedabad,Diesel,Automatic,First,2015,75000,181.0,5.0,22.502169811320755
225,Fiat,Grande,Punto 1.2 Emotion,Kolkata,Petrol,Manual,First,2011,11791,68.0,5.0,1.8748113207547172
226,Hyundai,Elantra,SX,Ahmedabad,Petrol,Manual,First,2013,46000,147.5,5.0,8.616981132075466
227,Volkswagen,Polo,Diesel Trendline 1.2L,Pune,Diesel,Manual,Second,2011,81000,73.9,5.0,2.518176100628932
228,Toyota,Etios,Cross 1.2L G,Coimbatore,Petrol,Manual,First,2015,46950,78.8,5.0,5.391603773584906
229,Hyundai,Grand,i10 Asta Option,Chennai,Petrol,Manual,First,2017,18000,82.0,5.0,6.241981132075468
230,Mahindra,Scorpio,S4 7 Seater,Coimbatore,Diesel,Manual,First,2016,95942,120.0,7.0,8.514528301886791
231,Maruti,Ciaz,VXi Plus,Kochi,Petrol,Manual,First,2016,42925,91.1,5.0,7.02981132075472
232,Ford,Figo,Petrol Titanium,Hyderabad,Petrol,Manual,First,2014,33750,70.02,5.0,3.749716981132073
233,Mini,Cooper,S,Mumbai,Petrol,Automatic,First,2016,14000,181.0,4.0,30.81704402515723
234,Hyundai,Creta,1.6 CRDi SX,Bangalore,Diesel,Manual,First,2015,29000,126.2,5.0,10.661792452830186
